;Barcode;Title;Year;Location
318.6;HV053630;Looking for a quick fix;2005;Bibliotheek AMFI
318.6;FM002877;Made in Eastern Europe;1998;Bibliotheek AMFI
318.6;TM014294;Draag eens wat anders;2000;Bibliotheek AMFI
318.6;TM014293;Draag eens wat anders;2000;Bibliotheek AMFI
318.6;HV096767;Clean clothes;2009;Bibliotheek AMFI
318.6;TM042818;C & A, de stille gigant;1989;Bibliotheek AMFI
318.6;TM000498;Kleding in beweging;1995;Bibliotheek AMFI
318.6;TM011291;Kleding in beweging;1995;Bibliotheek AMFI
318.7;TM044838;Deelt?darbeid, waarom wel, waarom niet;1982;Bibliotheek AMFI
318.7;TM048099;Deelt?darbeid, waarom wel, waarom niet;1982;Bibliotheek AMFI
318.7;TM044849;Waar komt er werk?;1981;Bibliotheek AMFI
325;TM000214;FabricWise;1987;Bibliotheek AMFI
325;TM042773;Mode, kleding en handicap;1986;Bibliotheek AMFI
340.6;TM001544;Inleiding tot de operationele research;1985;Bibliotheek AMFI
340.6;TM048189;Inleiding tot de operationele research;1985;Bibliotheek AMFI
340.9;HV023364;Macroeconomics;2003;Bibliotheek AMFI
341;TM024195;Draag 'ns wat anders!;0;Bibliotheek AMFI
341;TM044767;De groei begrensd;1984;Bibliotheek AMFI
341;TM044768;De groei begrensd;1984;Bibliotheek AMFI
341;FM003239;Fair trade;2001;Bibliotheek AMFI
341;FM002870;Sari, mode met meerwaarde;2002;Bibliotheek AMFI
347;TM000312;EDV-gestützte Kurzfristprognosen mit Hilfe modifizierter Verfahren der Saisonbereinigung;1993;Bibliotheek AMFI
351.2;HV063772;Creativity for all;2006;Bibliotheek AMFI
351.3;TM011360;Een eigen onderneming;1996;Bibliotheek AMFI
351.3;HV057202;Business as unusual;2000;Bibliotheek AMFI
352.3;HV005217;Grensverleggend ondernemen;2003;Bibliotheek AMFI
352.3;TM014149;De rode draad in de Nederlandse textielindustrie;1994;Bibliotheek AMFI
352.3;HV022076;Potenties voor beschermende textielen in Nederland;2003;Bibliotheek AMFI
354.2;TM000458;Forward strategy for world textile trade;1990;Bibliotheek AMFI
354.2;TM042387;Het multivezelakkoord;1979;Bibliotheek AMFI
354.2;HV005682;A new world map in textiles and clothing;2004;Bibliotheek AMFI
