;Barcode;Title;Year;Location
640.9;FM003148;Handmesstechnik oder Messzelle für Masskonfektion?;1999;Bibliotheek AMFI
640.9;FM003147;Handmesstechnik oder Messzelle für Masskonfektion?;1999;Bibliotheek AMFI
640.9;HV067076;Sizing in clothing;2007;Bibliotheek AMFI
640.9;TM010034;Evaluating apparel quality;1991;Bibliotheek AMFI
640.9;TM000140;Textiles and clothing;1994;Bibliotheek AMFI
 640.9 & 101;TM042001;Japonnen;1989;Bibliotheek AMFI
 640.9 & 102;TM042002;Pantalons klassiek;1989;Bibliotheek AMFI
 640.9 & 103;FM003678;Jeans;1989;Bibliotheek AMFI
 640.9 & 104;TM042004;Nachtkleding;1990;Bibliotheek AMFI
 640.9 & 105;TM042005;Regenmantels, mantels, coats, blazers, colberts;1989;Bibliotheek AMFI
 640.9 & 107;TM042006;Jogging, trainingspakken;1990;Bibliotheek AMFI
 640.9 & 108;TM042007;Pullovers, sweatshirts enz.;1990;Bibliotheek AMFI
 640.9 & 109;TM042008;Anoraks, Jacks;1989;Bibliotheek AMFI
 640.9 & 110;TM042009;Rokken;1989;Bibliotheek AMFI
 640.9 & 111;TM042010;Bloezes;1989;Bibliotheek AMFI
 640.9 & 113;TM042011;Overhemden;1989;Bibliotheek AMFI
 640.9 & 116;TM042012;Zwem- en badkleding;1989;Bibliotheek AMFI
 640.9 & 117;TM042013;Skikleding;1990;Bibliotheek AMFI
 640.9 & 118;TM042014;Ondergoed;1990;Bibliotheek AMFI
 640.9 & 420;TM042015;Waterdichte regenkleding;1989;Bibliotheek AMFI
640.9;TM041746;Van maat en pas;1949;Bibliotheek AMFI
640.9;TM016301;Clothing sizes;1997;Bibliotheek AMFI
641.9;TM042850;Fachzeichen für lederverarbeitende Berufe;1986;Bibliotheek AMFI
647;TM024608;Lighting;1999;Bibliotheek AMFI
647;HV022056;Interior lighting for designers;2003;Bibliotheek AMFI
650.7;HV107729;Blank slate;2013;Bibliotheek AMFI
650.7;HV114563;Universal methods of design;2012;Bibliotheek AMFI
658.42;TM007801;Sail & steam;1993;Bibliotheek AMFI
668.7;TM010957;ECR in the fashion industry;1998;Bibliotheek AMFI
668.7;TM016576;Electronic Data Interchange in the fashion industry;1998;Bibliotheek AMFI
670.1;HV109099;Handbook of biodegradation, biodeterioration, and biostabilization;2010;Bibliotheek AMFI
676.6;HV062897;The perfect scent;2008;Bibliotheek AMFI
676.6;HV060713;Parfums;2008;Bibliotheek AMFI
676.6;HV032000;Parfums;2006;Bibliotheek AMFI
684;TM041218;Letraset Graphic Arts system;1981;Bibliotheek AMFI
684;TM041217;Letraset Graphic Arts system;1981;Bibliotheek AMFI
684.13;HV012349;Type at work;2003;Bibliotheek AMFI
684.13;FM007248;Design and layout;2003;Bibliotheek AMFI
684.13;HV077066;Design en lay-out: grondbeginselen van de grafische vormgeving;2003;Bibliotheek AMFI
684.13;HV088738;Grafisch ontwerpen;2005;Bibliotheek AMFI
684.13;HV057328;Grafisch ontwerpen;2005;Bibliotheek AMFI
684.13;HV078505;Magazine design that works;2001;Bibliotheek AMFI
684.13;HV107711;The modern magazine;2013;Bibliotheek AMFI
684.13;HV092397;Thinking with type;2004;Bibliotheek AMFI
684.13;HV009958;Making art of databases;2003;Bibliotheek AMFI
684.13;HV107713;TypoMag;2010;Bibliotheek AMFI
684.13;HV063438;Surprise me;2003;Bibliotheek AMFI
684.13;HV100714;Never use more than two different typefaces;2010;Bibliotheek AMFI
684.13;HV078450;Mag-art;2006;Bibliotheek AMFI
684.13;FM007229;Design elements;2007;Bibliotheek AMFI
684.13;HV092393;Typography workbook;2006;Bibliotheek AMFI
684.13;HV114444;We love magazines;2007;Bibliotheek AMFI
684.13;HV063659;We make magazines;2009;Bibliotheek AMFI
684.13;HV107692;De basis van typografie;2013;Bibliotheek AMFI
684.13;HV063277;Editorial design;2007;Bibliotheek AMFI
684.3;HV113663;Lettering;2011;Bibliotheek AMFI
684.3;TM044006;Letraset;1985;Bibliotheek AMFI
684.3;TM044013;Letraset;1985;Bibliotheek AMFI
684.3;HV079080;Made with FontFont;2006;Bibliotheek AMFI
684.3;TM041193;Graphic book;1986;Bibliotheek AMFI
684.3;TM041192;Graphic book;1986;Bibliotheek AMFI
684.3;TM041190;Mecanorma;1988;Bibliotheek AMFI
684.3;TM041208;Graphic book;1986;Bibliotheek AMFI
684.3;TM041189;Mecanorma;1993;Bibliotheek AMFI
684.3;TM041191;Graphic book;1986;Bibliotheek AMFI
684.3;HV131954;Framing fonts;2012;Bibliotheek AMFI
684.3;HV015044;Pioneers of modern typography;2004;Bibliotheek AMFI
684.3;TM045274;Layout source book;1989;Bibliotheek AMFI
684.3;HV056096;The typographic experiment;2003;Bibliotheek AMFI
684.3;TM047899;Treasury of alphabets and lettering;1992;Bibliotheek AMFI
684.42;HV009152;Understanding women's magazines;2003;Bibliotheek AMFI
684.42;HV107457;Handboek Tijdschrift;2011;Bibliotheek AMFI
684.42;HV005883;T?dschriften maken;1988;Bibliotheek AMFI
684.65;HV077020;Handboek redactie;2005;Bibliotheek AMFI
684.96;TM009029;Cover to cover;1991;Bibliotheek AMFI
684.96;TM008670;Art Nouveau and Art Deco bookbinding;1989;Bibliotheek AMFI
684.96;FM003462;Recovered;2002;Bibliotheek AMFI
685;HV097901;Cotton worldwide;2010;Bibliotheek AMFI
685;TM043756;Eenvoudige textielwarenkennis;1980;Bibliotheek AMFI
685.1;TM016511;Examining textiles technology;1997;Bibliotheek AMFI
685.1;HV099960;The fashion designer's textile directory;2011;Bibliotheek AMFI
685.1;FM002634;Dameskleding;1971;Bibliotheek AMFI
685.1;FM002640;Courante textiel;1970;Bibliotheek AMFI
685.1;TM024672;Textile testing and analysis;1999;Bibliotheek AMFI
685.1;TM009024;Textiles;1983;Bibliotheek AMFI
685.1;HV052680;Elastische Textilien;2005;Bibliotheek AMFI
685.1;HV131515;The insider's guide to: cotton & sustainability;2012;Bibliotheek AMFI
685.1;TM009893;Understanding fabrics;1982;Bibliotheek AMFI
685.1;HV099122;Fabric for fashion;2010;Bibliotheek AMFI
685.1;HV100603;Fabric for fashion;2010;Bibliotheek AMFI
685.1;TM042043;Textile science;1993;Bibliotheek AMFI
685.1;HV056735;Textile innovation;2004;Bibliotheek AMFI
685.1;TM010305;Fabric reference;1996;Bibliotheek AMFI
685.1;TM010597;Fabric glossary;1996;Bibliotheek AMFI
685.1;TM043036;Encyclopedia of textiles;1992;Bibliotheek AMFI
685.1;HV084532;Textiles;2007;Bibliotheek AMFI
685.1;TM042728;Die Kleidung, unsere zweite Haut;1992;Bibliotheek AMFI
685.1;TM016151;Damenunterbekleidung;1993;Bibliotheek AMFI
685.1;TM016152;Damenunterbekleidung;1993;Bibliotheek AMFI
685.1;TM016153;Damenunterbekleidung;1993;Bibliotheek AMFI
685.1;TM017991;Linen;1999;Bibliotheek AMFI
685.1;FM002210;Chemiefasern für technische Textilprodukte;2001;Bibliotheek AMFI
685.1;TM009055;Textiles;1995;Bibliotheek AMFI
685.1;TM024414;Organic cotton;1999;Bibliotheek AMFI
685.1;TM043029;Vragen over textielwarenkennis behorende bij Textielwaren;1966;Bibliotheek AMFI
685.1;TM009886;J.J. Pizzuto's fabric science;1994;Bibliotheek AMFI
685.1;TM024036;Textielwarenkennis;1985;Bibliotheek AMFI
685.1;FM002867;Geef 'm van biologische katoen!;2000;Bibliotheek AMFI
685.1;TM010814;Understanding textiles;1997;Bibliotheek AMFI
685.2;HV011383;Antimikrobielle Textilien;2004;Bibliotheek AMFI
685.2;TM000157;Protective clothing;1992;Bibliotheek AMFI
685.2;HV106571;Bekleidung;2010;Bibliotheek AMFI
685.2;TM000253;Bestimmung des Wasserdampfdurchgangswiderstandes von Textilien unter Einfluss äusserer Nässeeinwir;1990;Bibliotheek AMFI
685.2;TM000255;Grundsatzuntersuchung über die Prozessgesteuerte Simulation der Thermoregulation des Menschen;1990;Bibliotheek AMFI
685.2;HV074657;Biologically inspired textiles;2008;Bibliotheek AMFI
685.2;TM010093;Fabrics;1996;Bibliotheek AMFI
685.2;TM000438;Textile quality;1994;Bibliotheek AMFI
685.2;HV039891;Clothing biosensory engineering;2006;Bibliotheek AMFI
685.2;TM000248;Erforschung einer integrierten Schutzkleidung für Kältearbeitsplätze;1993;Bibliotheek AMFI
685.2;HV008502;Clothing appearance and fit;2004;Bibliotheek AMFI
685.2;HV016454;Funktionstextilien;2003;Bibliotheek AMFI
685.2;HV079858;Handbook of nonwovens;2007;Bibliotheek AMFI
685.2;FM003233;Handbook of technical textiles;2000;Bibliotheek AMFI
685.2;FM002196;High-Tech-Fashion;2000;Bibliotheek AMFI
685.2;TM016515;New fibers;1997;Bibliotheek AMFI
685.2;HV101450;Improving comfort in clothing;2011;Bibliotheek AMFI
685.2;HV043990;Intelligent textiles and clothing;2006;Bibliotheek AMFI
685.2;HV084512;Quality assurance for textiles and apparel;2007;Bibliotheek AMFI
685.2;TM042046;Kleding comfort functie;1993;Bibliotheek AMFI
685.2;TM042047;Bijlage;1993;Bibliotheek AMFI
685.2;TM016476;U.S. Space Gear;1994;Bibliotheek AMFI
685.2;HV002550;Clothing, textiles and human performance;2002;Bibliotheek AMFI
685.2;FM003234;The Science of clothing comfort;2001;Bibliotheek AMFI
685.2;TM000457;Quality assessment of textiles;1993;Bibliotheek AMFI
685.2;TM000436;Barrier fabrics for protection against aerosols;1995;Bibliotheek AMFI
685.2;TM042978;Manmade fibers;1993;Bibliotheek AMFI
685.2;TM016498;The design logic of textile products;1997;Bibliotheek AMFI
685.2;TM024060;Körper - Klima - Kleidung;1998;Bibliotheek AMFI
685.2;TM000340;An introduction to quality control for the apparel industry;1992;Bibliotheek AMFI
685.2;TM016273;Textile product serviceability;1991;Bibliotheek AMFI
685.2;HV063100;Military textiles;2008;Bibliotheek AMFI
685.2;TM000308;Physical properties of textile fibres;1993;Bibliotheek AMFI
685.2;1981472-10;Dreamweavers;2003;Bibliotheek AMFI
 685.2  6/97;TM017028;Speciaal thema: polyester vezels;1997;Bibliotheek AMFI
685.2;TM016499;Shingosen;1997;Bibliotheek AMFI
685.2;HV023158;Human thermal environments;2003;Bibliotheek AMFI
685.2;TM010446;Performance of protective clothing: fifth volume;1996;Bibliotheek AMFI
685.2;TM014150;Fabric inspection and grading;1987;Bibliotheek AMFI
685.2;TM010127;Protective clothing systems and materials;1994;Bibliotheek AMFI
685.2;HV154118;Physiology and hygiene of materials and clothing;1971;Bibliotheek AMFI
685.2;TM010440;The selection, use and maintenance of molten metal protective clothing;1996;Bibliotheek AMFI
685.2;HV139266;Fashionable technology;2009;Bibliotheek AMFI
685.2;HV101575;Functional aesthetics;2010;Bibliotheek AMFI
685.2;HV063775;Smart clothes and wearable technology;2009;Bibliotheek AMFI
685.2;HV005449;Smart fibres, fabrics and clothing;2001;Bibliotheek AMFI
685.2;HV002105;Standards for thermal comfort;1995;Bibliotheek AMFI
 685.2  2001;FM002128;Studiedag brandgedrag van textiel en kleding;2001;Bibliotheek AMFI
685.2;TM042739;Textile objective measurement and automation in garment manufacture;1991;Bibliotheek AMFI
685.2;HV023971;Les textiles symbiotiques;2003;Bibliotheek AMFI
685.2;HV054179;Textiles in sport;2005;Bibliotheek AMFI
685.2;HV112845;TextielLab yearbook ...;2010;Bibliotheek AMFI
685.2;HV022087;Textiles and the skin;2003;Bibliotheek AMFI
685.2;HV114588;TextielLab yearbook ...;2010;Bibliotheek AMFI
685.2;TM000156;The thermal-insulation properties of fabrics;1993;Bibliotheek AMFI
685.2;TM000252;Untersuchungen zur Korrelation zwischen biophysikalischen und physiologischen Kriterien zur Erstellu;1989;Bibliotheek AMFI
685.2;TM041450;Van kimono tot ruimtepak;1990;Bibliotheek AMFI
685.2;TM000083;Verplicht vlamwerend of vrijwillig vuurvrij?;1994;Bibliotheek AMFI
685.2;TM010114;Textile processing and properties;1994;Bibliotheek AMFI
685.2;HV113066;Textielwarenkast;2011;Bibliotheek AMFI
685.2;TM016079;Clothing;1995;Bibliotheek AMFI
685.2;HV014672;Wearable electronics and photonics;2005;Bibliotheek AMFI
685.3;HV079860;Fancy yarns;2002;Bibliotheek AMFI
685.4;TM010806;Doppelgewebe in der Handweberei;1997;Bibliotheek AMFI
685.4;TM010128;Weaving;1995;Bibliotheek AMFI
685.4;TM009894;Weaving;1995;Bibliotheek AMFI
685.5;TM024502;Knitting technology;1998;Bibliotheek AMFI
685.5;HV062953;Designing a knitwear collection;2008;Bibliotheek AMFI
685.5;TM042871;Warp knitting production;1987;Bibliotheek AMFI
685.5;TM000173;Flat knitting technology;1993;Bibliotheek AMFI
685.5;HV114404;Knitwear;2010;Bibliotheek AMFI
685.5;HV060401;Knitting technology;2001;Bibliotheek AMFI
685.6;HV084973;Basic principles of textile coloration;2001;Bibliotheek AMFI
685.6;TM010129;Thedyeing of textile materials;1992;Bibliotheek AMFI
685.6;TM010445;Garment-dyeing: ready-to-wear fashion from the dyehouse;1988;Bibliotheek AMFI
685.6;TM006081;Colour for textiles;1993;Bibliotheek AMFI
685.6;HV011557;Kleurstoffen & technologie van het verven van textiel;1991;Bibliotheek AMFI
685.6;TM010976;Textile coloration and finishing;1996;Bibliotheek AMFI
685.6;HV079859;Total colour management in textiles;2006;Bibliotheek AMFI
685.7;HV113932;AATCC garment wet processing technical manual;1994;Bibliotheek AMFI
685.7;TM042685;Ecologisch verantwoord produceren: een uitdaging aan de textielveredelingsindustrie;1992;Bibliotheek AMFI
685.7;TM043162;Cloth of gold;1993;Bibliotheek AMFI
685.7;TM042956;Cloth of gold;1993;Bibliotheek AMFI
685.7;TM014247;Grundlagen der Textilveredlung;1989;Bibliotheek AMFI
685.9;HV063099;Advances in apparel production;2008;Bibliotheek AMFI
685.9;FM002211;Grundlagen für die 3D-Konstruktion und Passformsimulation körperferner Kleidungsstücke;2001;Bibliotheek AMFI
685.9;FM002572;Standardisierte Vernähbarkeitsprüfung;2001;Bibliotheek AMFI
 685.9  06;TM041790;Arbeitsgestaltung in der Hemdenfertigung;1974;Bibliotheek AMFI
 685.9  07;TM041791;Ursachen von Nähschäden bei Maschinenwaren;1974;Bibliotheek AMFI
 685.9  08;TM041792;Verarbeitbarkeit von Geweben und Maschenwaren;1974;Bibliotheek AMFI
 685.9  09;TM041793;Baukastensystem zur Arbeitsplatzgestaltung in der Näherei;1986;Bibliotheek AMFI
 685.9  10;TM041794;Biologisch-technische Optimierung im Mensch - Maschine - System dargestellt am Beispiel der Schnelln;1975;Bibliotheek AMFI
 685.9  100;TM000266;Optimale Vernähbarkeit;1993;Bibliotheek AMFI
 685.9  101;TM000267;Warenschau;1994;Bibliotheek AMFI
 685.9  102;TM000268;Anforderungsdefinitionen an Schnitteile-Datenbanken;1994;Bibliotheek AMFI
 685.9  103;TM000269;Qualitätsmerkmale;1994;Bibliotheek AMFI
 685.9  104;TM000270;Optimierung der flexiblen Produktion am Beispiel der Kleiderfertigung;1994;Bibliotheek AMFI
 685.9  105;TM000271;Werkstückträger;1995;Bibliotheek AMFI
 685.9  106;FM003696;Umweltgerechte Bekleidung;1994;Bibliotheek AMFI
 685.9  107;FM003697;Tips und Tricks zur Arbeitsplatzgestaltung;1995;Bibliotheek AMFI
 685.9  108;TM000359;Nutzung neuer Kommunikationstechnologien in der Bekleidungsindustrie;1995;Bibliotheek AMFI
 685.9  109;TM000348;Qualitäts- und Fehlerkostenrechnung in der Bekleidungsindustrie;1995;Bibliotheek AMFI
 685.9  11;TM041819;Optimale Bahnbreiten bei Hemdenstoffen;1985;Bibliotheek AMFI
 685.9  110;TM000529;Die Pflegekennzeichnung von Bekleidung;1995;Bibliotheek AMFI
 685.9  111;TM000530;Messergebnisse des Kabawata- und des FAST-Systems bei der Konfektionierung von textilen Flächengebi;1995;Bibliotheek AMFI
 685.9  112 ;TM000477;Verschlei? an Nähmaschinen;1995;Bibliotheek AMFI
 685.9  112 ;TM000478;Tips und Tricks zur optimalen Nahtqualität;1995;Bibliotheek AMFI
 685.9  113;TM010318;Naßreinigung von Bekleidung;1997;Bibliotheek AMFI
 685.9  114;FM003700;Entwicklung und optimierte Fertigung von Bekleidungslelementen für die Damen-Oberbekleidung;1996;Bibliotheek AMFI
 685.9  115;TM011997;Optimale Bügelmethoden;1996;Bibliotheek AMFI
 685.9  116;TM011998;Standardarbeiten;1996;Bibliotheek AMFI
 685.9  117;TM010094;Optimale Auswahl von Fertigungsstätten;1996;Bibliotheek AMFI
 685.9  118;TM010076;Verwertungs- und Entsorgungskonzept für die Bekleidungsindustrie;1996;Bibliotheek AMFI
 685.9  119;TM010307;Gruppenarbeit in der Bekleidungsindustrie;1997;Bibliotheek AMFI
 685.9  12;TM041818;Neue Wege beider Behebung von Nähmaschinenstörungen;1985;Bibliotheek AMFI
 685.9  120;TM010287;Körpernahe Bekleidung;1997;Bibliotheek AMFI
 685.9  121;TM016160;Mikrosystemtechnik in der Warenschau;1997;Bibliotheek AMFI
 685.9  122;TM010568;Sozio-ökonomische Aspekte der Gruppenarbeit;1997;Bibliotheek AMFI
 685.9  123;TM010569;Optimale Nutzung von CAD-Systemen in der Bekleidungsindustrie;1997;Bibliotheek AMFI
 685.9  124;TM010592;Informationssysteme für die Bekleidungsfertigung (BDE);1997;Bibliotheek AMFI
 685.9  125;TM010593;On-line Stofferkennung;1997;Bibliotheek AMFI
 685.9  126;TM010594;Informationstransfer in Kooperationsbeziehungen;1997;Bibliotheek AMFI
 685.9  127;TM016157;Wissensbasierter Leitstand für die Zuschneiderei;1997;Bibliotheek AMFI
 685.9  128;TM016233;Produktionsplanung bei verteilten Standorten;1997;Bibliotheek AMFI
 685.9  129 1/2;TM016632;Handbuch für den Auslandseinsatz von Mitarbeitern;1998;Bibliotheek AMFI
 685.9  129 2/2;TM016633;Handbuch für den Auslandseinsatz von Mitarbeitern;1998;Bibliotheek AMFI
 685.9  13;TM041817;Werkstückhandhabung;1985;Bibliotheek AMFI
 685.9  130;TM016325;Logistikprozeßmanagement in der Bekleidungsindustrie;1998;Bibliotheek AMFI
 685.9  131;TM010973;Prüfarbeitsplätze in der Bekleidungsindustrie;1997;Bibliotheek AMFI
 685.9  132;TM016528;Multimedia-Technologien zur Dokumentation von Expertenwissen;1998;Bibliotheek AMFI
 685.9  133;TM017125;Prognoseunterstützung für die Bekleidungsindustrie;1998;Bibliotheek AMFI
 685.9  134-;TM017126;Gradiertabellen für Damenbekleidung;1998;Bibliotheek AMFI
 685.9  134-;TM017127;Gradiertabellen für Damenbekleidung;1998;Bibliotheek AMFI
 685.9  134-;TM017128;Gradiertabellen für Damenbekleidung;1998;Bibliotheek AMFI
 685.9  135;TM017131;Methoden und Vorgehensweisen zur präventiven Qualitätssicherung;1998;Bibliotheek AMFI
 685.9  136;TM024364;Lösungsmöglichkeiten für Fixierprobleme;1999;Bibliotheek AMFI
 685.9  137;TM024443;Just-In-Time-Prinzipien in der Bekleidungsindustrie;1999;Bibliotheek AMFI
 685.9  138;TM024573;Optimierung von Bügelmaschinen;1999;Bibliotheek AMFI
 685.9  139;TM024581;Qualifizierungsmaßnahmen bei Gruppenarbeit;1999;Bibliotheek AMFI
 685.9  14;TM041815;Die Auswahl fixierbarer Einlagestoffe unter besonderer Berücksichtigung der Bahnbreite;1975;Bibliotheek AMFI
 685.9  140;TM014041;Neue Sensormodule zur Nahtbildüberwachung;2000;Bibliotheek AMFI
 685.9  141;TM014173;Benchmarking in der Bekleidungsindustrie;2000;Bibliotheek AMFI
 685.9  142;TM014260;Symbolsprache für die Bekleidungsindustrie;2000;Bibliotheek AMFI
 685.9  143;TM014354;Körpermasse, Marktanteile und Konstruktionsgrundlagen für Miederbekleidung;2001;Bibliotheek AMFI
 685.9  145 ;FM002555;Standardisierte Vernähbarkeitsprüfung;2001;Bibliotheek AMFI
 685.9  146;FM002755;Neue Formen des Prozessmanagements in der Produktentwicklung;2001;Bibliotheek AMFI
 685.9  147;HV021787;Nachträgliches Etikettieren;2003;Bibliotheek AMFI
 685.9  148;FM003433;Reproduzierbarkeit von Nähergebnissen;2002;Bibliotheek AMFI
 685.9  149;HV019138;Wissensdatenbank und Diagnosesystem für die Bekleidungsindustrie;2003;Bibliotheek AMFI
 685.9  150;HV019141;Ultraschallschweißen in der Bekleidungskonfektion;2003;Bibliotheek AMFI
 685.9  151;HV019142;Smart-Clothes-Technologien für die Bekleidungsindustrie;2003;Bibliotheek AMFI
 685.9  152;HV019139;Supply Chain Management in der Bekleidungsindustrie;2003;Bibliotheek AMFI
 685.9  153;HV022078;Konfektionstechnische Auswirkungen des elektrostatischen Verhaltens von Bekleidungsstoffen;2003;Bibliotheek AMFI
 685.9  154;HV022079;Konfektionsschrumpf;2003;Bibliotheek AMFI
 685.9  155;FM006044;Einsatzpotentiale der Transpondertechnologie in der Bekleidungsindustrie;2003;Bibliotheek AMFI
 685.9  156;FM006045;Oberbekleidung für Frauen über 60 Jahre;2003;Bibliotheek AMFI
 685.9  16;TM041816;Einführung des Baukasten-Systems für die Arbeitsplatzgestaltung in Nähereibetrieben der Bekleidun;1977;Bibliotheek AMFI
 685.9  17;TM041813;Krumpfharmonisierung;1977;Bibliotheek AMFI
 685.9  18;TM041814;Bügelfaktoren;1977;Bibliotheek AMFI
 685.9  19;TM041812;Versteifung von Maschenwaren;1977;Bibliotheek AMFI
 685.9  20;TM041811;Lehrunterlage für Ausbilder von Näherinnen;1977;Bibliotheek AMFI
 685.9  21;TM011473;Maschinenkunde für Bekleidungsnäher;1995;Bibliotheek AMFI
 685.9  22;TM041810;Leitfaden zum Aufbau und zur Einführung einer Produktionsplanung und -Steuerung;1978;Bibliotheek AMFI
 685.9  23;TM041809;Verarbeitungseigenschaften von Geweben, Anforderungen und Prüfempfehlungen;1979;Bibliotheek AMFI
 685.9  24;TM041808;Prognose und Hochrechnungssystem für die Bekleidungsindustrie;1985;Bibliotheek AMFI
 685.9  25;TM041807;Einsatzmöglichkeiten der Thermoformung zur Herstellung von Bekleidung;1979;Bibliotheek AMFI
 685.9  26;TM041806;Aufbau und Einführung von Verfahren und Methoden zur Kollektionsplanung;1980;Bibliotheek AMFI
 685.9  27;TM041837;Karo-Zuschnitt;1980;Bibliotheek AMFI
 685.9  28;TM041820;Einführung und Anwendung der elektronischen Schnittplanung;1985;Bibliotheek AMFI
 685.9  29/;TM024065;Konstruktion und Gradierung von Herren- und Knabenbekleidung unter Berücksichtigung des neuen Grö;1981;Bibliotheek AMFI
 685.9  29/;TM041850;Konstruktion und Gradierung von Herren- und Knabenbekleidung unter Berücksichtigung des neuen Grö;1981;Bibliotheek AMFI
 685.9  29/;TM041851;Konstruktion und Gradierung von Herren- und Knabenbekleidung unter Berücksichtigung des neuen Grö;1981;Bibliotheek AMFI
 685.9  29/;TM041852;Konstruktion und Gradierung von Herren- und Knabenbekleidung unter Berücksichtigung des neuen Grö;1981;Bibliotheek AMFI
 685.9  29/;TM024066;Konstruktion und Gradierung von Herren- und Knabenbekleidung unter Berücksichtigung des neuen Grö;1981;Bibliotheek AMFI
 685.9  29/;TM041856;Konstruktion und Gradierung von Herren- und Knabenbekleidung unter Berücksichtigung des neuen Grö;1981;Bibliotheek AMFI
 685.9  29/;TM041855;Konstruktion und Gradierung von Herren- und Knabenbekleidung unter Berücksichtigung des neuen Grö;1981;Bibliotheek AMFI
 685.9  29/;TM041854;Konstruktion und Gradierung von Herren- und Knabenbekleidung unter Berücksichtigung des neuen Grö;1981;Bibliotheek AMFI
 685.9  30;TM041805;Optimale Nähmethoden;1981;Bibliotheek AMFI
 685.9  30;TM041804;Optimale Nähmethoden;1981;Bibliotheek AMFI
 685.9  31;TM041853;Konstruktive Möglichkeiten zur Erhöhung der Paßformsicherheit bei Damen- und Mädchenkleidung;1981;Bibliotheek AMFI
 685.9  32;TM041803;Bügelbedingungen für Gewebe und Maschenwaren aus Wolle/Chemiefasermischungen;1981;Bibliotheek AMFI
 685.9  33;TM041802;Arbeitsplatzverkettung in der Bekleidungsindustrie mit einem modularem System;1985;Bibliotheek AMFI
 685.9  34;TM041801;Positioniersysteme;1982;Bibliotheek AMFI
 685.9  35;TM041799;Chemisch Bügeln;1982;Bibliotheek AMFI
 685.9  36;TM041800;Wölbformen von Bekleidung aus Wollgeweben;1982;Bibliotheek AMFI
 685.9  37;TM041821;Knitterfreie Sakkofutter;1985;Bibliotheek AMFI
 685.9  38;TM041798;Ein Praxisorientiertes Stücklistenkonzept für die Konfektionsindustrie;1983;Bibliotheek AMFI
 685.9  39;TM041797;Leistungsverluste bei Modell- und Aufgabenwechsel;1983;Bibliotheek AMFI
 685.9  40;TM041796;Auswirkungen von Gewebefehlern in der Bekleidungsindustrie;1983;Bibliotheek AMFI
 685.9  40;TM041795;Auswirkungen von Gewebefehlern in der Bekleidungsindustrie;1983;Bibliotheek AMFI
 685.9  41;TM041822;Konstruieren und Planen mit Baugruppen;1983;Bibliotheek AMFI
 685.9  42;TM041823;Abwicklung von Bekleidungentwürfen;1983;Bibliotheek AMFI
 685.9  43;TM041824;Maßänderungen von Textilien bei der Bekleidungsherstellung;1983;Bibliotheek AMFI
 685.9  45;TM041825;Gewebefehlerbehandlung durch Fehlererkennung und Fehlermarkierung;1984;Bibliotheek AMFI
 685.9  45;TM041826;Gewebefehlerbehandlung durch Fehlererkennung und Fehlermarkierung;1984;Bibliotheek AMFI
 685.9  46;TM041827;Mehr Paßformsicherheit durch auf Materialeigenschaften abgestimmte Bekleidungskonstruktion;1984;Bibliotheek AMFI
 685.9  47;TM041828;Angewandte Bekleidungsphysiologie in Bezug auf Stoffauswahl, Schnittkonstruktion und Verarbeitung;1984;Bibliotheek AMFI
 685.9  48;TM041829;Werkzeugwechsel und Werkzeugspeicher an Nähmaschinen;1985;Bibliotheek AMFI
 685.9  49;TM041830;Tasthilfen in der Näherei;1985;Bibliotheek AMFI
 685.9  50;TM041831;Nähoptimierung;1985;Bibliotheek AMFI
 685.9  51 ();FM002065;Konstruktionsgrundlagen für Damen- und Mädchenbekleidung;1995;Bibliotheek AMFI
 685.9  51 ();FM002828;Konstruktionsgrundlagen für Damen- und Mädchenbekleidung;1995;Bibliotheek AMFI
 685.9  51-;TM000531;Konstruktionsgrundlagen für Damen- und Mädchenbekleidung;1995;Bibliotheek AMFI
 685.9  51-/;TM000535;Konstruktionsgrundlagen für Damen- und Mädchenbekleidung;1995;Bibliotheek AMFI
 685.9  51-;TM000532;Konstruktionsgrundlagen für Damen- und Mädchenbekleidung;1995;Bibliotheek AMFI
 685.9  51-;TM000533;Konstruktionsgrundlagen für Damen- und Mädchenbekleidung;1995;Bibliotheek AMFI
 685.9  51-;TM000534;Konstruktionsgrundlagen für Damen- und Mädchenbekleidung;1995;Bibliotheek AMFI
 685.9  52;TM041842;Karo-Abrichten und Nähen;1985;Bibliotheek AMFI
 685.9  53;TM041844;Entwicklung einer Standarddatenbasis;1986;Bibliotheek AMFI
 685.9  54;TM041843;Stabilisierung von Bekleidungstextilien;1986;Bibliotheek AMFI
 685.9  55/;TM041847;Untersuchung der Ursachen des Nähkräuselns und der Vermeidung;1986;Bibliotheek AMFI
 685.9  55/;TM041845;Untersuchung der Ursachen des Nähkräuselns und der Vermeidung;1986;Bibliotheek AMFI
 685.9  55/;TM041846;Untersuchung der Ursachen des Nähkräuselns und der Vermeidung;1986;Bibliotheek AMFI
 685.9  56;TM041838;Restauriertes Bügeln mit Finish-Geräten;1986;Bibliotheek AMFI
 685.9  57;TM041840;Werkstückführungen;1986;Bibliotheek AMFI
 685.9  59;TM041841;Prozeßsteuerung an Legemaschinen;1985;Bibliotheek AMFI
 685.9  60;TM041921;Untersuchung an textilen Etiketten;1987;Bibliotheek AMFI
 685.9  61;TM041922;Flexible Nähautomaten;1988;Bibliotheek AMFI
