Callnumber;Barcode;Title;Year;Location
LWB: 697.5 LEID;HV052624;Leidraad zee- en meerdijken;1999;Bibliotheek Leeuwenburg
LWB: 697.5 PILA;HV046320;Offshore breakwaters and shore evolution control;1996;Bibliotheek Leeuwenburg
LWB: 697.5 SCHI;HV068849;Introduction to bed, bank and shore protection;2001;Bibliotheek Leeuwenburg
LWB: 697.5 TAW;TM002500;Leidraad voor het ontwerpen van rivierd?ken;1989;Bibliotheek Leeuwenburg
LWB: 697.5 TAW;LW003787;Leidraad voor het ontwerpen van rivierd?ken;1989;Bibliotheek Leeuwenburg
LWB: 697.5 TAW;TM002501;Leidraad voor het ontwerpen van rivierd?ken;1985;Bibliotheek Leeuwenburg
LWB: 697.5 TECH;HV022163;Technisch rapport golfoploop en golfoverslag b? d?ken;2002;Bibliotheek Leeuwenburg
LWB: 697.5 TECH;HV052622;Technisch rapport golfoploop en golfoverslag b? d?ken;2002;Bibliotheek Leeuwenburg
LWB: 697.5 VEIL;HV052627;De veiligheid van de primaire waterkeringen in Nederland;2004;Bibliotheek Leeuwenburg
LWB: 697.5 WATE;TM002195;Water tegen de dijk;1988;Bibliotheek Leeuwenburg
LWB: 698 JITT;TM004109;Sluizen en andere waterbouwkundige kunstwerken in en langs kanalen;1947;Bibliotheek Leeuwenburg
LWB: 698 JITT;HV046431;Sluizen en andere waterbouwkundige kunstwerken in en langs kanalen;1947;Bibliotheek Leeuwenburg
LWB: 698 RICH;LW003336;Richtl?nen vaarwegen;1999;Bibliotheek Leeuwenburg
LWB: 698.1 AREN;LW003073;Sluizen en gemalen in het Noordzeekanaal;2001;Bibliotheek Leeuwenburg
LWB: 698.1 AREN;LW001981;Sluizen en stuwen;1994;Bibliotheek Leeuwenburg
LWB: 698.1 ONTW 1;HV075256;Ontwerp van schutsluizen;2000;Bibliotheek Leeuwenburg
LWB: 698.1 ONTW 1;LW002481;Ontwerp van schutsluizen;2000;Bibliotheek Leeuwenburg
LWB: 698.1 ONTW 1;LW003071;Ontwerp van schutsluizen;2000;Bibliotheek Leeuwenburg
LWB: 698.1 ONTW 2;HV075255;Ontwerp van schutsluizen;2000;Bibliotheek Leeuwenburg
LWB: 698.1 ONTW 2;LW003361;Ontwerp van schutsluizen;2000;Bibliotheek Leeuwenburg
LWB: 698.1 ONTW 2;LW003068;Ontwerp van schutsluizen;2000;Bibliotheek Leeuwenburg
LWB: 699 RAPP;TM002107;Rapport van de Waddenzeecommissie;1974;Bibliotheek Leeuwenburg
LWB: 699 RUIM;HV079724;Ruimte voor hoogwater;2007;Bibliotheek Leeuwenburg
LWB: 699.1 HEEZ 2;TM009759;Van spelbepaler tot medespeler;1996;Bibliotheek Leeuwenburg
LWB: 699.2 GEDE;HV145074;Gedenkboek;1960;Bibliotheek Leeuwenburg
LWB: 699.2 KLEY;TM002304;Polders en d?ken;1969;Bibliotheek Leeuwenburg
LWB: 699.2 POLD;HV109280;De polderatlas van Nederland;2009;Bibliotheek Leeuwenburg
LWB: 699.2 SAEI;HV043788;Weg van water;2006;Bibliotheek Leeuwenburg
LWB: 699.2 TWEE;HV060738;Twee rivieren: Rijn en Maas;2007;Bibliotheek Leeuwenburg
LWB: 699.2 TWEE;HV060739;Twee rivieren: Rijn en Maas;2007;Bibliotheek Leeuwenburg
LWB: 699.5 MEER;HV043630;Meervoudig Ruimtegebruik met waterberging in Noord-Holland;2002;Bibliotheek Leeuwenburg
LWB: 700 HERM;HV049865;Prisma vakwoordenboek kunst & cultuur;1994;Bibliotheek Leeuwenburg
