Callnumber;Barcode;Title;Year;Location
AMFI: 309 BAKA;HV041215;Megatrends Europe;2006;Bibliotheek AMFI
AMFI: 309 EILA;TM007610;Naar 2020;1995;Bibliotheek AMFI
AMFI: 309 KONI;HV078246;De stand des t?ds;2006;Bibliotheek AMFI
AMFI: 309 MART;HV096067;The meaning of the 21st century;2007;Bibliotheek AMFI
AMFI: 309 NEDE;HV078661;Nederland in 2006;2006;Bibliotheek AMFI
AMFI: 309 NEW;TM024556;Sex 2000;1999;Bibliotheek AMFI
AMFI: 309 ROHD;HV109670;Dossier Supertrends;2010;Bibliotheek AMFI
AMFI: 309 ROOT;HV092610;Goed boek;2010;Bibliotheek AMFI
AMFI: 314 WONE;FM003587;Honderd jaar wonen in Nederland;2000;Bibliotheek AMFI
AMFI: 315 JEFF;HV046009;Beauty and misogyny;2005;Bibliotheek AMFI
AMFI: 315 WOLF;HV000420;The beauty myth;1991;Bibliotheek AMFI
AMFI: 318.4 CHAN;HV090415;Factory girls;2009;Bibliotheek AMFI
AMFI: 318.4 MARI;TM046186;Vrouwen aan het werk als HTS-ingenieur;1986;Bibliotheek AMFI
AMFI: 318.4 VALK;TM010351;Onderzoek naar de toekomstige carrièrekansen voor studenten en afgestudeerden van de opleiding Mode;1997;Bibliotheek AMFI
AMFI: 318.5 KRUIJ;TM010071;Child and adult labour in the export-oriented garment and gem polishing industry of India;1996;Bibliotheek AMFI
AMFI: 318.6 FLEX;TM000100;Flexibele arbeid en thuiswerk in de confectie-industrie;1994;Bibliotheek AMFI
AMFI: 318.6 FLEX;TM000102;Flexibele arbeid in de confectie-industrie;1993;Bibliotheek AMFI
AMFI: 318.6 JEAN;TM017921;Jeans;1998;Bibliotheek AMFI
AMFI: 318.6 JEAN;TM017953;Jeans;1998;Bibliotheek AMFI
AMFI: 318.6 KLED;TM017919;Kleding in beweging;1998;Bibliotheek AMFI
AMFI: 318.6 KLED;TM011431;Kleding in bedr?f;1998;Bibliotheek AMFI
AMFI: 318.6 KLED;TM017918;Kleding in bedr?f;1998;Bibliotheek AMFI
AMFI: 318.6 LOOK;HV053630;Looking for a quick fix;2005;Bibliotheek AMFI
AMFI: 318.6 MADE;FM002877;Made in Eastern Europe;1998;Bibliotheek AMFI
AMFI: 318.6 SCHA I;TM014294;Draag eens wat anders;2000;Bibliotheek AMFI
AMFI: 318.6 SCHA II;TM014293;Draag eens wat anders;2000;Bibliotheek AMFI
AMFI: 318.6 SLUI;HV096767;Clean clothes;2009;Bibliotheek AMFI
AMFI: 318.6 SMIT;TM042818;C & A, de stille gigant;1989;Bibliotheek AMFI
AMFI: 318.6 SMIT;TM000498;Kleding in beweging;1995;Bibliotheek AMFI
AMFI: 318.6 SMIT;TM011291;Kleding in beweging;1995;Bibliotheek AMFI
AMFI: 318.7 VERS;TM044838;Deelt?darbeid, waarom wel, waarom niet;1982;Bibliotheek AMFI
AMFI: 318.7 VERS;TM048099;Deelt?darbeid, waarom wel, waarom niet;1982;Bibliotheek AMFI
AMFI: 318.7 WAAR;TM044849;Waar komt er werk?;1981;Bibliotheek AMFI
AMFI: 325 JENK;TM000214;FabricWise;1987;Bibliotheek AMFI
AMFI: 325 KIEW;TM042773;Mode, kleding en handicap;1986;Bibliotheek AMFI
AMFI: 340.6 HUIS;TM001544;Inleiding tot de operationele research;1985;Bibliotheek AMFI
AMFI: 340.6 HUIS;TM048189;Inleiding tot de operationele research;1985;Bibliotheek AMFI
AMFI: 340.9 BLAN;HV023364;Macroeconomics;2003;Bibliotheek AMFI
AMFI: 341 DRAA;TM024195;Draag 'ns wat anders!;0;Bibliotheek AMFI
AMFI: 341 GROE;TM044767;De groei begrensd;1984;Bibliotheek AMFI
AMFI: 341 GROE;TM044768;De groei begrensd;1984;Bibliotheek AMFI
AMFI: 341 HOFF;FM003239;Fair trade;2001;Bibliotheek AMFI
AMFI: 341 SARI;FM002870;Sari, mode met meerwaarde;2002;Bibliotheek AMFI
AMFI: 347 SIEG;TM000312;EDV-gestützte Kurzfristprognosen mit Hilfe modifizierter Verfahren der Saisonbereinigung;1993;Bibliotheek AMFI
AMFI: 351.2 CREA;HV063772;Creativity for all;2006;Bibliotheek AMFI
AMFI: 351.3 CHEN;TM011360;Een eigen onderneming;1996;Bibliotheek AMFI
AMFI: 351.3 RODD;HV057202;Business as unusual;2000;Bibliotheek AMFI
AMFI: 352.3 GREN;HV005217;Grensverleggend ondernemen;2003;Bibliotheek AMFI
AMFI: 352.3 LOF;TM014149;De rode draad in de Nederlandse textielindustrie;1994;Bibliotheek AMFI
AMFI: 352.3 POTE;HV022076;Potenties voor beschermende textielen in Nederland;2003;Bibliotheek AMFI
AMFI: 354.2 FORW;TM000458;Forward strategy for world textile trade;1990;Bibliotheek AMFI
AMFI: 354.2 KROE;TM042387;Het multivezelakkoord;1979;Bibliotheek AMFI
AMFI: 354.2 NEW;HV005682;A new world map in textiles and clothing;2004;Bibliotheek AMFI
AMFI: 354.2 RULE II;TM024358;Rules of origin for textile product imports to the European Union;1998;Bibliotheek AMFI
AMFI: 354.2 WEBB;HV018981;Refashioning the rag trade;2001;Bibliotheek AMFI
AMFI: 354.4 BAKA;HV084624;Leven zonder olie;2007;Bibliotheek AMFI
AMFI: 354.6 SING I/3;TM016298;Textiles and clothing;1998;Bibliotheek AMFI
AMFI: 354.7 ERVA;922086-10;Ervaringen van Nederlandse bedr?ven in ontwikkelingslanden;1987;Bibliotheek AMFI
AMFI: 354.7 GROO;TM011362;Tweedehands kleding en armoedebestr?ding;1994;Bibliotheek AMFI
AMFI: 354.7 MEUF;TM044878;Wederz?dse belangen;1982;Bibliotheek AMFI
AMFI: 356.5 SNYD;HV112859;Fugitive denim;2009;Bibliotheek AMFI
AMFI: 360.4 ALIN;TM024870;Solidarity in autonomy;2000;Bibliotheek AMFI
AMFI: 360.4 BENE;TM010301;Benetton documentatiemap;1995;Bibliotheek AMFI
AMFI: 360.4 BEVA;FM003012;The rise and fall of Marks & Spencer;2002;Bibliotheek AMFI
AMFI: 360.4 CHAD;HV078252;It started with a kiss;2006;Bibliotheek AMFI
AMFI: 360.4 CORP;FM002865;Corporate responsibility report fy 2001;2001;Bibliotheek AMFI
AMFI: 360.4 FORD;HV009151;The house of Gucci;2001;Bibliotheek AMFI
AMFI: 360.4 MODE;TM016696;Mode für Millionen;1998;Bibliotheek AMFI
AMFI: 360.4 NEDE;HV062888;De Nederlandse brei-industrie;2008;Bibliotheek AMFI
AMFI: 360.4 PAYN;HV018291;World apparel companies;2002;Bibliotheek AMFI
AMFI: 360.4 PETE;HV068406;The Puma story;2008;Bibliotheek AMFI
AMFI: 360.4 STRA;TM010897;Swoosh;1993;Bibliotheek AMFI
AMFI: 360.4 WARN;HV060987;125 jaar Zwartjes van 1883;2008;Bibliotheek AMFI
AMFI: 360.4 WORT;HV043890;Fashion for the people;2007;Bibliotheek AMFI
AMFI: 360.5 BEST;TM042844;Besturen van organisaties;1991;Bibliotheek AMFI
AMFI: 360.6 ONDE;TM000077;Ondernemingsplan;1993;Bibliotheek AMFI
AMFI: 360.6 PUTT;HV061016;Principes van bedr?fseconomie;2008;Bibliotheek AMFI
AMFI: 360.8 INTE;TM044914;Internationaal ondernemen en de rechten van de mens;1979;Bibliotheek AMFI
AMFI: 360.9 TERR;TM000352;Organisation und Rentabilität von Änderungsateliers;1995;Bibliotheek AMFI
AMFI: 362 BOER;HV068344;Basics of financial management;2007;Bibliotheek AMFI
AMFI: 364.1 ANKL;HV062896;Analyse und Planung im Outfit-Einzelhandel;2008;Bibliotheek AMFI
AMFI: 364.1 BIRN;FM003385;Birnbaum's global guide to winning the great garment war;2000;Bibliotheek AMFI
AMFI: 364.1 HERG;FM002069;Costing right on target for textiles and apparel;2000;Bibliotheek AMFI
AMFI: 364.1 MICH;HV101784;Costing for the fashion industry;2011;Bibliotheek AMFI
AMFI: 366.1 BROW;HV107758;Change by design;2009;Bibliotheek AMFI
AMFI: 366.1 CUST;HV017638;The customer centric enterprise;2003;Bibliotheek AMFI
AMFI: 366.1 HAND 1;HV092024;Handbook of research in mass customization and personalization;2010;Bibliotheek AMFI
AMFI: 366.1 HAND 2;HV092023;Handbook of research in mass customization and personalization;2010;Bibliotheek AMFI
AMFI: 366.1 MASS;FM002062;Mass customisation in de kledingindustrie;2000;Bibliotheek AMFI
AMFI: 366.1 MINT;TM000428;Structure in fives;1993;Bibliotheek AMFI
AMFI: 366.3 AAKE;FM003668;Marktgericht strategisch beleid;1993;Bibliotheek AMFI
AMFI: 366.3 BLAC;TM024402;How to prepare a business plan;1998;Bibliotheek AMFI
AMFI: 366.3 DOUM;TM041644;Ondernemingsstrategie;1993;Bibliotheek AMFI
AMFI: 366.3 GRÖS;TM011000;Grössenmanagement und kundenorientierte Restrukturierung;1996;Bibliotheek AMFI
AMFI: 366.3 HARM;TM042783;Betriebsstättenplanung in der Bekleidungsindustrie;1988;Bibliotheek AMFI
AMFI: 366.3 ONDE;TM042427;Ondernemingsplanning in de prakt?k;1977;Bibliotheek AMFI
AMFI: 366.4 DAVE;FM003022;The attention economy;2001;Bibliotheek AMFI
AMFI: 366.4 KOR;TM048210;Werken aan projecten;1992;Bibliotheek AMFI
AMFI: 366.4 KOR;TM000043;Werken aan projecten;1992;Bibliotheek AMFI
AMFI: 366.49 PASC;TM000122;De filosofie van het Japanse management;1983;Bibliotheek AMFI
AMFI: 366.5 HAUF;FM002974;Benchmarking im Textileinzelhandel;1999;Bibliotheek AMFI
AMFI: 366.6 BARR;TM000069;Putting quality circles to work;1989;Bibliotheek AMFI
AMFI: 366.6 DREU;TM010014;Het organisatie-instrument;1995;Bibliotheek AMFI
AMFI: 366.6 ERFO;TM042982;Erfolgreiches Management durch firmenübergreifende Partnerschaft;1992;Bibliotheek AMFI
AMFI: 366.6 HAME;TM042633;Kwaliteitszorg door management;1987;Bibliotheek AMFI
AMFI: 366.6 HEER;TM001826;ISO 9000-serie en kwaliteitshandboek;1991;Bibliotheek AMFI
AMFI: 366.6 HEER;TM043275;ISO 9000-serie en kwaliteitshandboek;1994;Bibliotheek AMFI
AMFI: 366.6 HEER;TM005835;ISO 9000-serie en kwaliteitshandboek;1994;Bibliotheek AMFI
AMFI: 366.6 KLAC;TM000082;Klachtenbehandeling b? bedr?ven;1994;Bibliotheek AMFI
AMFI: 366.6 KWAL;TM042634;Kwaliteitszorg in de prakt?k;1988;Bibliotheek AMFI
AMFI: 366.6 MULD;TM042632;Manager en produktkwaliteit;1989;Bibliotheek AMFI
AMFI: 366.6 RON;HV021664;Duurzaam ondernemen;2001;Bibliotheek AMFI
AMFI: 366.9 CHAN;TM000287;The changing apparel plant;1993;Bibliotheek AMFI
AMFI: 366.9 COOP;TM011288;The design agenda;1995;Bibliotheek AMFI
AMFI: 366.9 GUTH;HV078366;Perry's Department Store;2006;Bibliotheek AMFI
AMFI: 366.9 MACD;HV111986;Cradle to cradle;2009;Bibliotheek AMFI
AMFI: 367.1 CASE;TM014147;Cases in organisational behaviour;1994;Bibliotheek AMFI
AMFI: 367.1 HILL;HV103338;Emotionomics;2009;Bibliotheek AMFI
AMFI: 367.1 LIER;96438-10;De onderbewuste partner;1987;Bibliotheek AMFI
AMFI: 367.1 SCHE;HV052682;De bedr?fscultuur als ziel van de onderneming;2000;Bibliotheek AMFI
AMFI: 367.1 SCHE;TM000455;Dimensions of flexibility in apparel production;1995;Bibliotheek AMFI
AMFI: 367.11 GOOS;TM042496;Maatwerk in de confectie;1989;Bibliotheek AMFI
AMFI: 367.11 GOOS;TM042497;Maatwerk in de confectie;1989;Bibliotheek AMFI
AMFI: 367.2 FUNC I;TM042037;Funktiestudie betreffende de confectie;1985;Bibliotheek AMFI
AMFI: 367.2 FUNC II;TM042038;Funktiestudie betreffende de confectie;1985;Bibliotheek AMFI
AMFI: 367.2 SCHO;TM042913;Scholingscatalogus voor de confectie-industrie;1992;Bibliotheek AMFI
AMFI: 367.3 HAND;TM024182;Handleiding risico-inventarisatie en -evaluatie voor confectie-ondernemingen;1996;Bibliotheek AMFI
AMFI: 367.7 CONF;TM000023;Confectie;1990;Bibliotheek AMFI
AMFI: 367.7 DHON;TM010081;Trendstudie kwalificaties en beroepen confectie-industrie;1994;Bibliotheek AMFI
AMFI: 367.7 DHON;TM000175;Nieuwe produktieconcepten in de confectie-industrie;1994;Bibliotheek AMFI
AMFI: 367.7 ERGO I;FM003667;Ergonomics in the apparel and textile industries;1991;Bibliotheek AMFI
AMFI: 367.7 PEET;TM042800;Groepswerk in de confectie;1992;Bibliotheek AMFI
AMFI: 367.7 PEET;TM042776;Nieuwe produktiemethoden voor de kledingindustrie;1991;Bibliotheek AMFI
AMFI: 367.7 SITT;TM000500;Synergetisch produceren;1994;Bibliotheek AMFI
AMFI: 367.7 STEU;TM042202;Ausbildung, Weiterbildung;1982;Bibliotheek AMFI
AMFI: 369.1 AGIN;TM024639;The end of fashion;1999;Bibliotheek AMFI
AMFI: 369.1 APÉR;HV030270;Brand relations management;2004;Bibliotheek AMFI
AMFI: 369.1 BOHD;TM000526;Fashion marketing;1994;Bibliotheek AMFI
AMFI: 369.1 BORR;HV009681;Who's afraid of Niketown?;2004;Bibliotheek AMFI
AMFI: 369.1 BRAN;HV046261;Fashion forecasting;2005;Bibliotheek AMFI
AMFI: 369.1 BRAY;TM000353;Monitoronderzoek naar koopstromen rond winkelgebieden;1995;Bibliotheek AMFI
AMFI: 369.1 BROS;TM000313;Die Handhabung des Moderisikos;1994;Bibliotheek AMFI
AMFI: 369.1 BROW;HV003665;Free gift inside!;2003;Bibliotheek AMFI
AMFI: 369.1 CHUR;TM011424;Marketing research;1995;Bibliotheek AMFI
AMFI: 369.1 COHE;TM009888;Marketing textiles;1989;Bibliotheek AMFI
AMFI: 369.1 CONS 1980;TM042201;Consument en textieldetaillist in een sterk gewijzigde markt;1980;Bibliotheek AMFI
AMFI: 369.1 COOK;TM042976;Retail marketing;1991;Bibliotheek AMFI
AMFI: 369.1 COST;TM024418;Fashion marketing and PR;1998;Bibliotheek AMFI
AMFI: 369.1 DUID;TM041954;Duidelijk in beeld;1986;Bibliotheek AMFI
AMFI: 369.1 ENGE;TM016559;Kommer en kwel in de confectie;1993;Bibliotheek AMFI
AMFI: 369.1 ERFO;TM014265;Erfolgreiches Beziehungsmarketing in der textilen Kette;2000;Bibliotheek AMFI
AMFI: 369.1 EUND;HV112623;Fashion trends;2011;Bibliotheek AMFI
AMFI: 369.1 FASH;HV084531;Fashion marketing;2007;Bibliotheek AMFI
AMFI: 369.1 FASH;HV075392;Fashion marketing;2007;Bibliotheek AMFI
AMFI: 369.1 FASH;FM002773;Fashion marketing;2001;Bibliotheek AMFI
AMFI: 369.1 FASH;HV068377;Fashion marketing;2009;Bibliotheek AMFI
AMFI: 369.1 FORE;HV017635;Forecasting;2001;Bibliotheek AMFI
AMFI: 369.1 FORM;FM002973;Praxisorientiertes Marketing im Textileinzelhandel;2001;Bibliotheek AMFI
AMFI: 369.1 FRAN;HV036418;The SWOCC book of brand management models;2006;Bibliotheek AMFI
AMFI: 369.1 GAUS;HV104199;Why yesterday tells of tomorrow;2001;Bibliotheek AMFI
AMFI: 369.1 GEUR;TM016477;Virtuele tomaten en conceptuele pindakaas;1996;Bibliotheek AMFI
